field,0,1,2,3,4,5
art,1,7,3921,1351,306,104
biology,1,32,47735,28753,11571,2407
business,1,13,2381,1411,623,228
chemistry,1,21,14940,12384,4349,909
computer science,1,34,12737,7028,2784,1301
economics,1,40,5483,3316,1091,361
engineering,1,44,9941,6884,2281,750
environmental science,1,8,1139,1158,254,38
geography,1,11,4630,2727,673,207
geology,1,18,15658,7578,3156,542
history,1,7,3532,1643,307,82
materials science,1,7,3380,3940,824,119
mathematics,1,20,10060,5658,2438,1063
medicine,1,47,18135,15936,5817,1238
philosophy,1,7,5578,2368,539,136
physics,1,27,10569,8777,3049,934
political science,1,3,4551,3412,822,224
psychology,1,14,6194,3885,1113,179
sociology,1,13,3502,1423,257,39
